ファイル名：	C:\TAData\菊池_貝良塚\Sn単体_2024_09_26.tad								
									
[ファイル情報]									
ファイル名：	Sn単体_2024_09_26.tad								
試料名：	Sn単体（菊池貝良塚）								
ロット番号：	1								
収集日：	2024/9/26								
収集時間：	14:41:10(+0900)								
機種名：	DTG-60								
機体番号：	C30564500399TK								
雰囲気ガス：	アルゴン								
ガス流量：	50[ml/min]								
セル：	アルミニウム								
試料量：	20.732[mg]								
試料分子量：	0								
									
									
[測定プログラム]									
[データ取込条件]									
サンプリング間隔[ sec ] ：	1								
収集開始条件：	測定開始と同時に開始								
収集終了条件：	測定終了と同時に終了								
									
									
[温度プログラム]									
加熱速度	ホールド温度	ホールド時間							
[ﾟC/min ]	[  ﾟC   ]	[  min  ]							
253	89.84	107.63	20.75						
254	90.18	107.95	20.76						
255	90.54	108.26	20.76						
256	90.87	108.57	20.76						
257	91.19	108.88	20.76						
258	91.55	109.18	20.76						
259	91.86	109.49	20.76						
260	92.23	109.79	20.76						
261	92.57	110.09	20.76						
262	92.93	110.38	20.76						
263	93.27	110.68	20.76						
264	93.59	110.97	20.76						
265	93.96	111.27	20.76						
266	94.26	111.56	20.76						
267	94.63	111.84	20.76						
268	94.99	112.13	20.76						
269	95.35	112.42	20.76						
270	95.69	112.71	20.76						
271	96.01	112.99	20.76						
272	96.38	113.27	20.76						
273	96.69	113.56	20.76						
274	97.06	113.84	20.76						
275	97.43	114.12	20.76						
276	97.79	114.39	20.76						
277	98.13	114.67	20.76						
278	98.45	114.95	20.76						
279	98.82	115.22	20.76						
280	99.13	115.5	20.76						
281	99.5	115.77	20.76						
282	99.86	116.04	20.76						
283	100.22	116.31	20.76						
284	100.56	116.58	20.76						
285	100.88	116.84	20.76						
286	101.24	117.11	20.76						
287	101.56	117.37	20.76						
288	101.92	117.63	20.76						
289	102.29	117.9	20.76						
290	102.64	118.16	20.76						
291	103	118.42	20.76						
292	103.31	118.68	20.77						
293	103.68	118.94	20.77						
294	103.99	119.2	20.77						
295	104.36	119.45	20.77						
